=== corosio ===
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.75    1.198907       92223        13           futex
 38.73    1.198153      599076         2           clock_nanosleep
  6.57    0.203133           3     54312         6 io_uring_enter
  3.23    0.100020           3     27171           close
  2.36    0.072969           1     40736           setsockopt
  1.76    0.054425           4     13570           sendmsg
  1.74    0.053806           1     27165           write
  1.60    0.049624           1     27146           getsockname
  1.55    0.048034           1     27149     13568 read
  1.39    0.043090           3     13576     13576 accept4
  1.35    0.041689           3     13584           socket
  0.96    0.029811           2     13570           readv
  0.00    0.000048          12         4           clone3
  0.00    0.000044           6         7           munmap
  0.00    0.000033           1        17           rt_sigprocmask
  0.00    0.000023           3         6           madvise
  0.00    0.000020           1        13           openat
  0.00    0.000018           0        34           mmap
  0.00    0.000017           3         5           rseq
  0.00    0.000013           6         2           io_uring_setup
  0.00    0.000012           1         8           bind
  0.00    0.000011           2         5           set_robust_list
  0.00    0.000007           0         8           listen
  0.00    0.000006           3         2           prctl
  0.00    0.000004           0         5           brk
  0.00    0.000003           0         8           mprotect
  0.00    0.000003           1         2           eventfd2
  0.00    0.000000           0         9           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1         1 ioctl
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    3.093923          11    258141     27152 total
=== asio ===
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.49    1.336303      668151         2           clock_nanosleep
 15.86    0.350304          14     24354           io_uring_enter
 10.86    0.239890           3     64946           close
  8.25    0.182257           1     97411           setsockopt
  4.51    0.099606           3     32473           socket
  0.01    0.000181           5        35           mmap
  0.01    0.000177          88         2           io_uring_setup
  0.00    0.000097          24         4           futex
  0.00    0.000079           8         9           munmap
  0.00    0.000048          24         2           clone3
  0.00    0.000042           7         6           brk
  0.00    0.000033           3        11           openat
  0.00    0.000030           3         9           rt_sigprocmask
  0.00    0.000024           3         8           bind
  0.00    0.000023           2         8           getsockname
  0.00    0.000019           1        11           read
  0.00    0.000018           6         3           madvise
  0.00    0.000018           2         8           listen
  0.00    0.000014           4         3           set_robust_list
  0.00    0.000008           2         3           rseq
  0.00    0.000007           0         9           fstat
  0.00    0.000005           0         8           mprotect
  0.00    0.000004           2         2           lseek
  0.00    0.000003           3         1         1 ioctl
  0.00    0.000002           2         1           rt_sigaction
  0.00    0.000000           0         1           write
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    2.209192          10    219338         2 total
