=== ACC userspace top 25 symbols: corosio ===
# Overhead       Samples  Command        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  .............  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.50%            66  corosio_bench  [.] void std::__introsort_loop<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
     0.29%            30  corosio_bench  [.] _ZZN13corosio_bench12_GLOBAL__N_122bench_concurrent_churnITnDaXtlN5boost7corosio10io_uring_tEEEEEvRN5bench5stateEENKUliE_clEi.resume
     0.20%            21  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_socket::set_option(int, int, void const*, unsigned long)
     0.18%            19  corosio_bench  [.] std::__shared_ptr<boost::corosio::detail::io_uring_tcp_socket, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<void>, boost::corosio::detail::io_uring_tcp_service&, boost::corosio::detail::io_uring_scheduler&>(std::_Sp_alloc_shared_tag<std::allocator<void> >, boost::corosio::detail::io_uring_tcp_service&, boost::corosio::detail::io_uring_scheduler&)
     0.13%            14  corosio_bench  [.] boost::corosio::detail::io_uring_scheduler::process_completions()
     0.12%            13  corosio_bench  [.] boost::corosio::detail::io_uring_scheduler::do_one(long)
     0.12%            13  corosio_bench  [.] _ZN5boost4capy5writeITkNS0_11WriteStreamENS_7corosio17native_tcp_socketIXtlNS2_10io_uring_tEEEEETkNS0_19ConstBufferSequenceENS0_12const_bufferEEENS0_4taskINS0_9io_resultIJmEEEEERT_T0_.resume
     0.10%            11  corosio_bench  [.] non-virtual thunk to boost::corosio::detail::io_uring_tcp_service::close(boost::corosio::io_object::handle&)
     0.09%            10  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_service::destroy(boost::corosio::io_object::implementation*)
     0.09%             9  corosio_bench  [.] boost::corosio::detail::io_uring_tcp_service::adopt_fd(int, boost::corosio::endpoint const&)
     0.08%             9  corosio_bench  [.] boost::corosio::detail::io_uring_scheduler::cancel_and_flush(int)
     0.08%             8  corosio_bench  [.] boost::capy::execution_context::find_impl(std::type_index) const
     0.07%             7  corosio_bench  [.] boost::corosio::detail::uring_connect_op::do_handler(void*, boost::corosio::detail::scheduler_op*, unsigned int, unsigned int)
     0.07%             7  corosio_bench  [.] corosio_bench::(anonymous namespace)::configure_churn_socket(boost::corosio::tcp_socket&)
     0.07%             7  corosio_bench  [.] boost::corosio::detail::io_uring_multishot_acceptor_base<boost::corosio::detail::io_uring_tcp_acceptor, boost::corosio::tcp_acceptor::implementation, boost::corosio::endpoint, boost::corosio::detail::io_uring_tcp_service>::dispatch_or_queue(std::__n4861::coroutine_handle<void>, boost::capy::executor_ref, std::stop_token, std::error_code*, boost::corosio::io_object::implementation**)
