=== corosio ===
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.08    1.217642      101470        12           futex
 38.90    1.211977      605988         2           clock_nanosleep
 10.58    0.329504           3     87520           sendmsg
  6.02    0.187611           2     87876           io_uring_enter
  5.32    0.165846           1     87552     87552 readv
  0.01    0.000452           4       113           close
  0.01    0.000353           2       163           write
  0.01    0.000316          28        11           munmap
  0.01    0.000309           1       160           setsockopt
  0.01    0.000240           3        64           socket
  0.01    0.000176           1        96           getsockname
  0.01    0.000169           4        38           mmap
  0.00    0.000140           4        32           shutdown
  0.00    0.000106           3        32        32 accept4
  0.00    0.000087           2        32           bind
  0.00    0.000084          21         4           clone3
  0.00    0.000067           2        32           listen
  0.00    0.000056           3        17           rt_sigprocmask
  0.00    0.000047           3        13           openat
  0.00    0.000030          15         2           io_uring_setup
  0.00    0.000028           4         6           madvise
  0.00    0.000026           2        13           read
  0.00    0.000024           3         8           mprotect
  0.00    0.000018           2         7           brk
  0.00    0.000018           3         5           rseq
  0.00    0.000016           8         2           prctl
  0.00    0.000012           2         5           set_robust_list
  0.00    0.000007           0         9           fstat
  0.00    0.000006           3         2           eventfd2
  0.00    0.000004           2         2           pread64
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000001           1         1           rt_sigaction
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    3.115375          11    263839     87585 total
=== asio ===
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.02    1.907183      953591         2           clock_nanosleep
 45.93    1.621581          33     48254           io_uring_enter
  0.02    0.000583          41        14           munmap
  0.01    0.000361           3       109           close
  0.00    0.000168           4        40           mmap
  0.00    0.000161           5        32           shutdown
  0.00    0.000153           0       160           setsockopt
  0.00    0.000131           4        32           connect
  0.00    0.000108           1        64           socket
  0.00    0.000091           9        10           brk
  0.00    0.000072          36         2           io_uring_setup
  0.00    0.000051           1        32           accept
  0.00    0.000038           1        32           bind
  0.00    0.000034           1        32           listen
  0.00    0.000032           1        32           getsockname
  0.00    0.000017           1        11           openat
  0.00    0.000017           8         2           clone3
  0.00    0.000014           1         9           rt_sigprocmask
  0.00    0.000012           4         3           madvise
  0.00    0.000008           0        11           read
  0.00    0.000007           0         8           mprotect
  0.00    0.000004           1         3           futex
  0.00    0.000003           0         9           fstat
  0.00    0.000003           1         3           rseq
  0.00    0.000002           0         3           set_robust_list
  0.00    0.000000           0         1           write
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    3.530834          72     48921         1 total
