=== top 25 hot symbols: corosio ===
# Overhead       Samples  Command        Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ............  .............  ...................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    25.92%          5429  corosio_bench  [kernel.kallsyms]    [k] entry_SYSRETQ_unsafe_stack
     3.80%           797  corosio_bench  [kernel.kallsyms]    [k] __pi__text
     3.63%           760  corosio_bench  [kernel.kallsyms]    [k] __do_sys_io_uring_enter
     3.37%           706  corosio_bench  [vdso]               [.] __vdso_clock_gettime
     2.62%           548  corosio_bench  libc.so.6            [.] pthread_mutex_lock
     2.59%           539  corosio_bench  corosio_bench        [.] boost::corosio::detail::io_uring_scheduler::do_one(long)
     2.53%           529  corosio_bench  [kernel.kallsyms]    [k] do_syscall_64
     2.47%           517  corosio_bench  [kernel.kallsyms]    [k] entry_SYSCALL_64
     2.38%           498  corosio_bench  [kernel.kallsyms]    [k] io_cqring_wait
     2.05%           432  corosio_bench  liburing.so.2.14     [.] 0x00000000000026e4
     1.93%           407  corosio_bench  [kernel.kallsyms]    [k] __irqentry_text_end
     1.77%           370  corosio_bench  [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     1.57%           329  corosio_bench  [kernel.kallsyms]    [k] fget
     1.38%           290  corosio_bench  [kernel.kallsyms]    [k] srso_alias_safe_ret
     1.04%           218  corosio_bench  corosio_bench        [.] boost::corosio::detail::io_uring_scheduler::poll()
     1.02%           214  corosio_bench  [kernel.kallsyms]    [k] do_anonymous_page
     0.99%           208  corosio_bench  [kernel.kallsyms]    [k] srso_alias_return_thunk
     0.86%           180  corosio_bench  libc.so.6            [.] 0x00000000000a5cd2
     0.81%           170  corosio_bench  corosio_bench        [.] boost::capy::recycling_memory_resource::deallocate_slow(void*, unsigned long)
     0.79%           166  corosio_bench  [kernel.kallsyms]    [k] __x64_sys_io_uring_enter
     0.74%           155  corosio_bench  libc.so.6            [.] cfree
     0.72%           151  corosio_bench  [kernel.kallsyms]    [k] __handle_mm_fault
     0.72%           150  corosio_bench  libstdc++.so.6.0.34  [.] operator new(unsigned long)
     0.69%           139  corosio_bench  [kernel.kallsyms]    [k] syscall_return_via_sysret
     0.62%           129  corosio_bench  liburing.so.2.14     [.] 0x00000000000026e2
     0.59%           124  corosio_bench  corosio_bench        [.] boost::capy::recycling_memory_resource::allocate_fast(unsigned long, unsigned long)
